iter	Logloss
0	0.6840364272
1	0.6743886741
2	0.6648819216
3	0.6567533908
4	0.6479095791
5	0.6398038771
6	0.6320981274
7	0.6271390992
8	0.6198052158
9	0.6147477916
10	0.6063633984
11	0.599031465
12	0.5920736569
13	0.5850276972
14	0.577526795
15	0.5705143799
16	0.5627696625
17	0.5549083756
18	0.5488567128
19	0.5416611714
20	0.5354941668
21	0.5288690962
22	0.5227317389
23	0.5177375424
24	0.5119723209
25	0.5061428448
26	0.5004695513
27	0.4950622888
28	0.4893677718
29	0.4844246523
30	0.4810754973
31	0.4762517842
32	0.4729524018
33	0.4684520256
34	0.4637881893
35	0.4587716172
36	0.4539108883
37	0.4495619125
38	0.4446042484
39	0.4399938569
40	0.434825
41	0.4302747384
42	0.4256292679
43	0.4214768157
44	0.4172368439
45	0.4137591774
46	0.4098276845
47	0.4062437687
48	0.402094716
49	0.3985562888
50	0.3950925149
51	0.3917698833
52	0.3905067593
53	0.3866776045
54	0.3832323021
55	0.3801306096
56	0.3767403223
57	0.3729715017
58	0.3697978283
59	0.3664779243
60	0.362973325
61	0.3604473285
62	0.3580983814
63	0.3546249031
64	0.3518402562
65	0.3491293727
66	0.3463643453
67	0.3432178531
68	0.3402559639
69	0.3372594474
70	0.3344711862
71	0.3325077587
72	0.3300242353
73	0.3275252655
74	0.3247813357
75	0.3222680011
76	0.319369812
77	0.3168188688
78	0.3141548441
79	0.3120380311
80	0.3099503733
81	0.307719548
82	0.3057870004
83	0.3033611185
84	0.3009079287
85	0.298967051
86	0.2970559382
87	0.2955262891
88	0.2937684709
89	0.2918617629
90	0.2901918977
91	0.2882405861
92	0.2858155098
93	0.2840984367
94	0.282445053
95	0.2801375308
96	0.278433988
97	0.2767219849
98	0.2747035237
99	0.2742829922
100	0.2723567648
101	0.2704394697
102	0.2684403781
103	0.2672510203
104	0.2654483372
105	0.2638710985
106	0.2625766253
107	0.2608539077
108	0.2590856202
109	0.2570158518
110	0.2563803843
111	0.2545895262
112	0.2536360657
113	0.2515259947
114	0.2504043718
115	0.2491112342
116	0.2479753847
117	0.2468539054
118	0.2455300416
119	0.2446107453
120	0.2429985286
121	0.2418384388
122	0.240207916
123	0.2385924719
124	0.2374295115
125	0.2361808419
